Date,Holiday Name
1964-06-01,Queen's Birthday
1964-10-26,Labour Day
1964-12-25,Christmas Day
1964-12-26,Boxing Day
1964-12-28,Boxing Day (observed)
1965-01-01,New Year's Day
1965-01-02,Day after New Year's Day
1965-01-04,Day after New Year's Day (observed)
1965-04-16,Good Friday
1965-04-19,Easter Monday
1965-04-25,Anzac Day
1965-06-07,Queen's Birthday
1965-10-25,Labour Day
1965-12-25,Christmas Day
1965-12-26,Boxing Day
1965-12-27,Christmas Day (observed)
1965-12-28,Boxing Day (observed)
1966-01-01,New Year's Day
1966-01-02,Day after New Year's Day
1966-01-03,New Year's Day (observed)
1966-01-04,Day after New Year's Day (observed)
1966-04-08,Good Friday
1966-04-11,Easter Monday
1966-04-25,Anzac Day
1966-06-06,Queen's Birthday
1966-10-24,Labour Day
1966-12-25,Christmas Day
1966-12-26,Boxing Day
1966-12-27,Christmas Day (observed)
1967-01-01,New Year's Day
1967-01-02,Day after New Year's Day
1967-01-03,New Year's Day (observed)
1967-03-24,Good Friday
1967-03-27,Easter Monday
1967-04-25,Anzac Day
1967-06-05,Queen's Birthday
1967-10-23,Labour Day
1967-12-25,Christmas Day
1967-12-26,Boxing Day
1968-01-01,New Year's Day
1968-01-02,Day after New Year's Day
1968-04-12,Good Friday
1968-04-15,Easter Monday
1968-04-25,Anzac Day
1968-06-03,Queen's Birthday
1968-10-28,Labour Day
1968-12-25,Christmas Day
1968-12-26,Boxing Day
1969-01-01,New Year's Day
1969-01-02,Day after New Year's Day
1969-04-04,Good Friday
1969-04-07,Easter Monday
1969-04-25,Anzac Day
1969-06-02,Queen's Birthday
1969-10-27,Labour Day
1969-12-25,Christmas Day
1969-12-26,Boxing Day
1970-01-01,New Year's Day
1970-01-02,Day after New Year's Day
1970-03-27,Good Friday
1970-03-30,Easter Monday
1970-04-25,Anzac Day
1970-06-01,Queen's Birthday
1970-10-26,Labour Day
1970-12-25,Christmas Day
1970-12-26,Boxing Day
1970-12-28,Boxing Day (observed)
1971-01-01,New Year's Day
1971-01-02,Day after New Year's Day
1971-01-04,Day after New Year's Day (observed)
1971-04-09,Good Friday
1971-04-12,Easter Monday
1971-04-25,Anzac Day
1971-06-07,Queen's Birthday
1971-10-25,Labour Day
1971-12-25,Christmas Day
1971-12-26,Boxing Day
1971-12-27,Christmas Day (observed)
1971-12-28,Boxing Day (observed)
1972-01-01,New Year's Day
1972-01-02,Day after New Year's Day
1972-01-03,New Year's Day (observed)
1972-01-04,Day after New Year's Day (observed)
1972-03-31,Good Friday
1972-04-03,Easter Monday
1972-04-25,Anzac Day
1972-06-05,Queen's Birthday
1972-10-23,Labour Day
1972-12-25,Christmas Day
1972-12-26,Boxing Day
1973-01-01,New Year's Day
1973-01-02,Day after New Year's Day
1973-04-20,Good Friday
1973-04-23,Easter Monday
1973-04-25,Anzac Day
1973-06-04,Queen's Birthday
1973-10-22,Labour Day
1973-12-25,Christmas Day
1973-12-26,Boxing Day
1974-01-01,New Year's Day
1974-01-02,Day after New Year's Day
1974-02-06,New Zealand Day
1974-04-12,Good Friday
1974-04-15,Easter Monday
1974-04-25,Anzac Day
1974-06-03,Queen's Birthday
1974-10-28,Labour Day
1974-12-25,Christmas Day
1974-12-26,Boxing Day
1975-01-01,New Year's Day
1975-01-02,Day after New Year's Day
1975-02-06,New Zealand Day
1975-03-28,Good Friday
1975-03-31,Easter Monday
1975-04-25,Anzac Day
1975-06-02,Queen's Birthday
1975-10-27,Labour Day
1975-12-25,Christmas Day
1975-12-26,Boxing Day
1976-01-01,New Year's Day
1976-01-02,Day after New Year's Day
1976-02-06,New Zealand Day
1976-04-16,Good Friday
1976-04-19,Easter Monday
1976-04-25,Anzac Day
1976-06-07,Queen's Birthday
1976-10-25,Labour Day
1976-12-25,Christmas Day
1976-12-26,Boxing Day
1976-12-27,Christmas Day (observed)
1976-12-28,Boxing Day (observed)
1977-01-01,New Year's Day
1977-01-02,Day after New Year's Day
1977-01-03,New Year's Day (observed)
1977-01-04,Day after New Year's Day (observed)
1977-02-06,Waitangi Day
1977-04-08,Good Friday
1977-04-11,Easter Monday
1977-04-25,Anzac Day
1977-06-06,Queen's Birthday
1977-10-24,Labour Day
1977-12-25,Christmas Day
1977-12-26,Boxing Day
1977-12-27,Christmas Day (observed)
1978-01-01,New Year's Day
1978-01-02,Day after New Year's Day
1978-01-03,New Year's Day (observed)
1978-02-06,Waitangi Day
1978-03-24,Good Friday
1978-03-27,Easter Monday
1978-04-25,Anzac Day
1978-06-05,Queen's Birthday
1978-10-23,Labour Day
1978-12-25,Christmas Day
1978-12-26,Boxing Day
1979-01-01,New Year's Day
1979-01-02,Day after New Year's Day
1979-02-06,Waitangi Day
1979-04-13,Good Friday
1979-04-16,Easter Monday
1979-04-25,Anzac Day
1979-06-04,Queen's Birthday
1979-10-22,Labour Day
1979-12-25,Christmas Day
1979-12-26,Boxing Day
1980-01-01,New Year's Day
1980-01-02,Day after New Year's Day
1980-02-06,Waitangi Day
1980-04-04,Good Friday
1980-04-07,Easter Monday
1980-04-25,Anzac Day
1980-06-02,Queen's Birthday
1980-10-27,Labour Day
1980-12-25,Christmas Day
1980-12-26,Boxing Day
1981-01-01,New Year's Day
1981-01-02,Day after New Year's Day
1981-02-06,Waitangi Day
1981-04-17,Good Friday
1981-04-20,Easter Monday
1981-04-25,Anzac Day
1981-06-01,Queen's Birthday
1981-10-26,Labour Day
1981-12-25,Christmas Day
1981-12-26,Boxing Day
1981-12-28,Boxing Day (observed)
1982-01-01,New Year's Day
1982-01-02,Day after New Year's Day
