"Date","Holiday.Name","Day"
1917-06-03,"Kings Birthday","Sunday"
1917-10-22,"Labour Day","Monday"
1917-12-25,"Christmas Day","Tuesday"
1917-12-26,"Boxing Day","Wednesday"
1918-01-01,"New Years Day","Tuesday"
1918-01-02,"Day after New Years Day","Wednesday"
1918-03-29,"Good Friday","Friday"
1918-04-01,"Easter Monday","Monday"
1918-06-03,"Kings Birthday","Monday"
1918-10-28,"Labour Day","Monday"
1918-12-25,"Christmas Day","Wednesday"
1918-12-26,"Boxing Day","Thursday"
1919-01-01,"New Years Day","Wednesday"
1919-01-02,"Day after New Years Day","Thursday"
1919-04-18,"Good Friday","Friday"
1919-04-21,"Easter Monday","Monday"
1919-06-03,"Kings Birthday","Tuesday"
1919-10-27,"Labour Day","Monday"
1919-12-25,"Christmas Day","Thursday"
1919-12-26,"Boxing Day","Friday"
1920-01-01,"New Years Day","Thursday"
1920-01-02,"Day after New Years Day","Friday"
1920-04-02,"Good Friday","Friday"
1920-04-05,"Easter Monday","Monday"
1920-06-03,"Kings Birthday","Thursday"
1920-10-25,"Labour Day","Monday"
1920-12-25,"Christmas Day","Saturday"
1920-12-26,"Boxing Day","Sunday"
1920-12-27,"Christmas Day (observed)","Monday"
1920-12-28,"Boxing Day (observed)","Tuesday"
1921-01-01,"New Years Day","Saturday"
1921-01-02,"Day after New Years Day","Sunday"
1921-01-03,"New Years Day (observed)","Monday"
1921-01-04,"Day after New Years Day (observed)","Tuesday"
1921-03-25,"Good Friday","Friday"
1921-03-28,"Easter Monday","Monday"
1921-04-25,"Anzac Day","Monday"
1921-06-03,"Kings Birthday","Friday"
1921-10-24,"Labour Day","Monday"
1921-12-25,"Christmas Day","Sunday"
1921-12-26,"Boxing Day","Monday"
1921-12-27,"Christmas Day (observed)","Tuesday"
1922-01-01,"New Years Day","Sunday"
1922-01-02,"Day after New Years Day","Monday"
1922-01-03,"New Years Day (observed)","Tuesday"
1922-04-14,"Good Friday","Friday"
1922-04-17,"Easter Monday","Monday"
1922-04-25,"Anzac Day","Tuesday"
1922-06-03,"Kings Birthday","Saturday"
1922-10-23,"Labour Day","Monday"
1922-12-25,"Christmas Day","Monday"
1922-12-26,"Boxing Day","Tuesday"
1923-01-01,"New Years Day","Monday"
1923-01-02,"Day after New Years Day","Tuesday"
1923-03-30,"Good Friday","Friday"
1923-04-02,"Easter Monday","Monday"
1923-04-25,"Anzac Day","Wednesday"
1923-06-03,"Kings Birthday","Sunday"
1923-10-22,"Labour Day","Monday"
1923-12-25,"Christmas Day","Tuesday"
1923-12-26,"Boxing Day","Wednesday"
1924-01-01,"New Years Day","Tuesday"
1924-01-02,"Day after New Years Day","Wednesday"
1924-04-18,"Good Friday","Friday"
1924-04-21,"Easter Monday","Monday"
1924-04-25,"Anzac Day","Friday"
1924-06-03,"Kings Birthday","Tuesday"
1924-10-27,"Labour Day","Monday"
1924-12-25,"Christmas Day","Thursday"
1924-12-26,"Boxing Day","Friday"
1925-01-01,"New Years Day","Thursday"
1925-01-02,"Day after New Years Day","Friday"
1925-04-10,"Good Friday","Friday"
1925-04-13,"Easter Monday","Monday"
1925-04-25,"Anzac Day","Saturday"
1925-06-03,"Kings Birthday","Wednesday"
1925-10-26,"Labour Day","Monday"
1925-12-25,"Christmas Day","Friday"
1925-12-26,"Boxing Day","Saturday"
1925-12-28,"Boxing Day (observed)","Monday"
1926-01-01,"New Years Day","Friday"
1926-01-02,"Day after New Years Day","Saturday"
1926-01-04,"Day after New Years Day (observed)","Monday"
1926-04-02,"Good Friday","Friday"
1926-04-05,"Easter Monday","Monday"
1926-04-25,"Anzac Day","Sunday"
1926-06-03,"Kings Birthday","Thursday"
1926-10-25,"Labour Day","Monday"
1926-12-25,"Christmas Day","Saturday"
1926-12-26,"Boxing Day","Sunday"
1926-12-27,"Christmas Day (observed)","Monday"
1926-12-28,"Boxing Day (observed)","Tuesday"
1927-01-01,"New Years Day","Saturday"
1927-01-02,"Day after New Years Day","Sunday"
1927-01-03,"New Years Day (observed)","Monday"
1927-01-04,"Day after New Years Day (observed)","Tuesday"
1927-04-15,"Good Friday","Friday"
1927-04-18,"Easter Monday","Monday"
1927-04-25,"Anzac Day","Monday"
1927-06-03,"Kings Birthday","Friday"
1927-10-24,"Labour Day","Monday"
1927-12-25,"Christmas Day","Sunday"
1927-12-26,"Boxing Day","Monday"
1927-12-27,"Christmas Day (observed)","Tuesday"
1928-01-01,"New Years Day","Sunday"
1928-01-02,"Day after New Years Day","Monday"
1928-01-03,"New Years Day (observed)","Tuesday"
1928-04-06,"Good Friday","Friday"
1928-04-09,"Easter Monday","Monday"
1928-04-25,"Anzac Day","Wednesday"
1928-06-03,"Kings Birthday","Sunday"
1928-10-22,"Labour Day","Monday"
1928-12-25,"Christmas Day","Tuesday"
1928-12-26,"Boxing Day","Wednesday"
1929-01-01,"New Years Day","Tuesday"
1929-01-02,"Day after New Years Day","Wednesday"
1929-03-29,"Good Friday","Friday"
1929-04-01,"Easter Monday","Monday"
1929-04-25,"Anzac Day","Thursday"
1929-06-03,"Kings Birthday","Monday"
1929-10-28,"Labour Day","Monday"
1929-12-25,"Christmas Day","Wednesday"
1929-12-26,"Boxing Day","Thursday"
1930-01-01,"New Years Day","Wednesday"
1930-01-02,"Day after New Years Day","Thursday"
1930-04-18,"Good Friday","Friday"
1930-04-21,"Easter Monday","Monday"
1930-04-25,"Anzac Day","Friday"
1930-06-03,"Kings Birthday","Tuesday"
1930-10-27,"Labour Day","Monday"
1930-12-25,"Christmas Day","Thursday"
1930-12-26,"Boxing Day","Friday"
1931-01-01,"New Years Day","Thursday"
1931-01-02,"Day after New Years Day","Friday"
1931-04-03,"Good Friday","Friday"
1931-04-06,"Easter Monday","Monday"
1931-04-25,"Anzac Day","Saturday"
1931-06-03,"Kings Birthday","Wednesday"
1931-10-26,"Labour Day","Monday"
1931-12-25,"Christmas Day","Friday"
1931-12-26,"Boxing Day","Saturday"
1931-12-28,"Boxing Day (observed)","Monday"
1932-01-01,"New Years Day","Friday"
1932-01-02,"Day after New Years Day","Saturday"
1932-01-04,"Day after New Years Day (observed)","Monday"
1932-03-25,"Good Friday","Friday"
1932-03-28,"Easter Monday","Monday"
1932-04-25,"Anzac Day","Monday"
1932-06-03,"Kings Birthday","Friday"
1932-10-24,"Labour Day","Monday"
1932-12-25,"Christmas Day","Sunday"
1932-12-26,"Boxing Day","Monday"
